1 jeu par jour,Cashback 1 jeu par jour,12799,http://action.metaffiliation.com/suivi.php?mclic=S431FF44DAA182&argsite={userid},7.5%,"7,5% par achat",merc01,1,7.5
1monde2sport,Cashback 1monde2sport,12909,http://action.metaffiliation.com/suivi.php?mclic=S4326D44DAA141&argsite={userid},4%,4% par achat,merc02,1,4
1001Bijoux,Cashback 1001Bijoux,2135,http://action.metaffiliation.com/suivi.php?mclic=S385744DAA113&argsite={userid},4%,4% par achat,merc03,1,4
100000 Volts,Cashback 100000 Volts,4739,http://action.metaffiliation.com/suivi.php?mclic=S4128344DAA113&argsite={userid},3.25%,"3,25% par achat",merc04,1,3.25
ABIX,Cashback ABIX,2406,http://action.metaffiliation.com/suivi.php?mclic=S396644DAA1D2&argsite={userid},9.5%,"9,5% par achat",merc08,1,9.5
Aboutbatteries.com,Cashback Aboutbatteries.com,9547,http://action.metaffiliation.com/suivi.php?mclic=S4254B44DAA131&argsite={userid},3.75%,"3,75% par achat",merc09,1,3.75
Access moto,Cashback Access moto,7463,http://action.metaffiliation.com/suivi.php?mclic=S41D2744DAA162&argsite={userid},1.5%,"1,5% par achat",merc10,1,1.5
ACCUBAT,Cashback ACCUBAT,27749,http://action.metaffiliation.com/suivi.php?mclic=S46C6544DAA162&argsite={userid},5%,5% par achat,merc11,1,5
Achat-ski,Cashback Achat-ski,4745,http://action.metaffiliation.com/suivi.php?mclic=S4687944DAA161&argsite={userid},4%,4% par achat,merc12,1,4
Actufitness,Cashback Actufitness,841,http://action.metaffiliation.com/suivi.php?mclic=S334944DAA111&argsite={userid},3.5%,"3,5% par achat",merc13,1,3.5
Adam et Eve,Cashback Adam et Eve,21775,http://action.metaffiliation.com/suivi.php?mclic=S4550F44DAA162&argsite={userid},7.5%,"7,5% par achat",merc14,1,7.5
Adamence,Cashback Adamence,2444,http://action.metaffiliation.com/suivi.php?mclic=S398C44DAA131&argsite={userid},3%,3% par achat,merc15,1,3
Add & Boost,Cashback Add & Boost,317,http://action.metaffiliation.com/suivi.php?mclic=S313D44DAA111&argsite={userid},2.5€,"2,5€ par achat",merc16,0,2.5
Akizz,Cashback Akizz,9469,http://action.metaffiliation.com/suivi.php?mclic=S424FD44DAA192&argsite={userid},5.75%,"5,75% par achat",merc18,1,5.75
ALGOTONIC,Cashback ALGOTONIC,25975,http://action.metaffiliation.com/suivi.php?mclic=S4657744DAA111&argsite={userid},5%,5% par achat,merc19,1,5
Alice Delice,Cashback Alice Delice,5286,http://action.metaffiliation.com/suivi.php?mclic=S414A644DAA111&argsite={userid},2.5%,"2,5% par achat",merc20,1,2.5
Amateur de design,Cashback Amateur de design,30255,http://action.metaffiliation.com/suivi.php?mclic=S4762F44DAA191&argsite={userid},3%,3% par achat,merc21,1,3
Amikado,Cashback Amikado,4643,http://action.metaffiliation.com/suivi.php?mclic=S4122344DAA115&argsite={userid},6.5%,"6,5% par achat",merc22,1,6.5
Animalerie-shop,Cashback Animalerie-shop,29893,http://action.metaffiliation.com/suivi.php?mclic=S474C544DAA147&argsite={userid},4%,4% par achat,merc24,1,4
Annikids,Cashback Annikids,8082,http://action.metaffiliation.com/suivi.php?mclic=S41F9244DAA115&argsite={userid},2%,2% par achat,merc25,1,2
Ann Tuil shopping,Cashback Ann Tuil shopping,26677,http://action.metaffiliation.com/suivi.php?mclic=S4683544DAA141&argsite={userid},5%,5% par achat,merc26,1,5
Arts Ephémères.com,Cashback Arts Ephémères.com,29547,http://action.metaffiliation.com/suivi.php?mclic=S4736B44DAA162&argsite={userid},3.25%,"3,25% par achat",merc28,1,3.25
Automodeal,Cashback Automodeal,24777,http://action.metaffiliation.com/suivi.php?mclic=S460C944DAA152&argsite={userid},2.665%,"2,665% par achat",merc31,1,2.665
AuxPrixBas.fr,Cashback AuxPrixBas.fr,21571,http://action.metaffiliation.com/suivi.php?mclic=S4544344DAA141&argsite={userid},2%,2% par achat,merc32,1,2
Avenue de la glisse,Cashback Avenue de la glisse,4561,http://action.metaffiliation.com/suivi.php?mclic=S411D144DAA1319&argsite={userid},3%,3% par achat,merc33,1,3
Avenue des jeux,Cashback Avenue des jeux,312,http://action.metaffiliation.com/suivi.php?mclic=S313844DAA111&argsite={userid},3%,3% par achat,merc34,1,3
Basalt,Cashback Basalt,29193,http://action.metaffiliation.com/suivi.php?mclic=S4720944DAA153&argsite={userid},4%,4% par achat,merc36,1,4
Basics Corner,Cashback Basics Corner,27815,http://action.metaffiliation.com/suivi.php?mclic=S46CA744DAA142&argsite={userid},2.5%,"2,5% par achat",merc37,1,2.5
Bayard Jeunesse,Cashback Bayard Jeunesse,24739,http://action.metaffiliation.com/suivi.php?mclic=S460A344DAA1521&argsite={userid},6%,6% par achat,merc38,1,6
Bébé Affaires,Cashback Bébé Affaires,20029,http://action.metaffiliation.com/suivi.php?mclic=S44E3D44DAA112&argsite={userid},3.5%,"3,5% par achat",merc39,1,3.5
Bébé Direct,Cashback Bébé Direct,25235,http://action.metaffiliation.com/suivi.php?mclic=S4629344DAA131&argsite={userid},3.5%,"3,5% par achat",merc40,1,3.5
Bébé Gavroche,Cashback Bébé Gavroche,5208,http://action.metaffiliation.com/suivi.php?mclic=S4145844DAA153&argsite={userid},3.5%,"3,5% par achat",merc41,1,3.5
Befight,Cashback Befight,28625,http://action.metaffiliation.com/poursuivi?mclic=S46FD144DAA131&argsite={userid},4%,4% par achat,merc42,1,4
Belle cocotte,Cashback Belle cocotte,6979,http://action.metaffiliation.com/suivi.php?mclic=S41B4344DAA132&argsite={userid},4.5%,"4,5% par achat",merc43,1,4.5
Bestform,Cashback Bestform,19633,http://action.metaffiliation.com/suivi.php?mclic=S44CB144DAA142&argsite={userid},3.5%,"3,5% par achat",merc44,1,3.5
Betclic Paris Sportif,Cashback Betclic Paris Sportif,1218,http://action.metaffiliation.com/suivi.php?mclic=S34C244DAA151&argsite={userid},15€,15€ pour moins de 10 dépots/mois,merc45,0,15
Betclic Turf FR,Cashback Betclic Turf FR,4938,http://action.metaffiliation.com/suivi.php?mclic=S4134A44DAA151&argsite={userid},30€,30€ de 1 à 20 dépots/mois,merc46,0,30
Betclic- Poker,Cashback Betclic- Poker,2714,http://action.metaffiliation.com/suivi.php?mclic=S3A9A44DAA144&argsite={userid},15€,15€ par nouveau joueur,merc47,0,15
Bien Etre Avenue,Cashback Bien Etre Avenue,479,http://action.metaffiliation.com/suivi.php?mclic=S31DF44DAA112&argsite={userid},3.5%,"3,5% par achat",merc48,1,3.5
Bikeinn FR,Cashback Bikeinn FR,3305,http://action.metaffiliation.com/suivi.php?mclic=S433F944DAA122&argsite={userid},1.875%,"1,875% par achat",merc49,1,1.875
Bioenvie,Cashback Bioenvie,24383,http://action.metaffiliation.com/suivi.php?mclic=S45F3F44DAA112&argsite={userid},8%,8% par achat,merc50,1,8
BIOFFICINE,Cashback BIOFFICINE,2759,http://action.metaffiliation.com/suivi.php?mclic=S3AC744DAA151&argsite={userid},5%,5% par achat (entre 1 à 5 achats/mois),merc51,1,5
Bodxl,Cashback Bodxl,28931,http://action.metaffiliation.com/suivi.php?mclic=S4710344DAA161&argsite={userid},3%,3% par achat,merc52,1,3
bodyandco,Cashback bodyandco,26751,http://action.metaffiliation.com/suivi.php?mclic=S4687F44DAA112&argsite={userid},6.5%,"6,5% par achat",merc53,1,6.5
Bozéa,Cashback Bozéa,23111,http://action.metaffiliation.com/suivi.php?mclic=S45A4744DAA151&argsite={userid},4%,4% par achat,merc54,1,4
Bricorama,Cashback Bricorama,24581,http://action.metaffiliation.com/suivi.php?mclic=S4600544DAA131&argsite={userid},2.5%,"2,5% par achat",merc55,1,2.5
Brindilles,Cashback Brindilles,11567,http://action.metaffiliation.com/suivi.php?mclic=S42D2F44DAA171&argsite={userid},3%,3% par achat,merc56,1,3
Cadeaux et Tendances,Cashback Cadeaux et Tendances,27561,http://action.metaffiliation.com/suivi.php?mclic=S46BA944DAA111&argsite={userid},2%,2% par achat,merc57,1,2
Cadeaux.com,Cashback Cadeaux.com,5487,http://action.metaffiliation.com/suivi.php?mclic=S4156F44DAA161&argsite={userid},5%,5% par achat,merc58,1,5
Cadeaumalin.fr,Cashback Cadeaumalin.fr,6073,http://action.metaffiliation.com/suivi.php?mclic=S417B944DAA111&argsite={userid},3.5%,"3,5% par achat",merc59,1,3.5
