"La Redoute","Cashback La Redoute",3096,"http://ad.zanox.com/ppc/?23042002C1344095265T&zpar0=[[{userid}]]","Jusqu'à 5%","2,5% par achat
5% par achat aux Ventes privées by La Redoute","merc01",1,5
"Numericable","Cashback Numericable",3088,"http://ad.zanox.com/ppc/?23042125C1535901049T&zpar0=[[{userid}]]","Jusqu'à 22,5€","9€ sur les forfaits mobile seul
22,5€ par achat sur Forfait Internet, Téléphonie Fixe, TV, Mobile
Pas de cashback pour les anciens clients mobile ou Internet (offres de renouvellement)
","merc02",0,22
"Conforama","Cashback Conforama",3141,"http://ad.zanox.com/ppc/?23042171C436909993T&zpar0=[[{userid}]]","2,5%","2,5% par achat","merc03",1,2
"Boulanger","Cashback Boulanger",3316,"http://ad.zanox.com/ppc/?23042224C1808428550T&zpar0=[[{userid}]]","2%","2% par achat","merc04",1,2
"Fnac.com","Cashback Fnac.com",3828,"http://ad.zanox.com/ppc/?23042286C2029524479T&zpar0=[[{userid}]]","Jusqu'à 4%","4% sur coffret cadeau, Telechargement MP3
2,5% sur livres, Market Place,logiciels , jeux vidéo,  dvd ,blu-ray
2 % sur PEM, Jouets, musique + 0,50€ par achat de carte adhérent
1,5% sur le son, hifi informatique, gps , téléphonie, appareil photo , camescope","merc05",1,4
"Sosh","Cashback Sosh",12298,"http://ad.zanox.com/ppc/?23042448C304214048T&zpar0=[[{userid}]]","7€","7€ par achat","merc06",0,7
"Sarenza","Cashback Sarenza",3084,"http://ad.zanox.com/ppc/?23042559C685399774T&zpar0=[[{userid}]]","4%","4% par achat","merc07",1,4
"PriceMinister","Cashback PriceMinister",2329,"http://ad.zanox.com/ppc/?23042580C51604754T&zpar0=[[{userid}]]","5%","5% par achat","merc08",1,5
"Oxybul eveil et jeux","Cashback Oxybul eveil et jeux",3128,"http://ad.zanox.com/ppc/?23043440C1032364720T&zpar0=[[{userid}]]","1%","1% par achat","merc09",1,1
"Etam","Cashback Etam",2933,"http://ad.zanox.com/ppc/?23043498C759521407T&zpar0=[[{userid}]]","3%","3% par achat","merc10",1,3
"Virgin Mobile","Cashback Virgin Mobile",3105,"http://ad.zanox.com/ppc/?23043631C1196102029T&zpar0=[[{userid}]]","Jusqu'à 16€"," 4€ par achat carte prépayée et forfait Extaz Mini S
7,50€ par forfaits Extaz S 2h - 4h, Extaz S 2h Internet, Extaz Bloqués S 2h - 4h
11,50€ par forfaits Extaz M 2h - 4h - Illimités, Extaz M 2h Internet, Extaz Bloqués M 2h - 4h
16€ par forfait Extaz XL 4h","merc11",0,16
"Tati","Cashback Tati",7575,"http://ad.zanox.com/ppc/?23043735C1931038241T&zpar0=[[{userid}]]","2,5%","2,5% par achat","merc12",1,2
"Oscaro.com","Cashback Oscaro.com",11913,"http://ad.zanox.com/ppc/?23043762C944669815T&zpar0=[[{userid}]]","3,00%","3% par achat","merc13",1,3
"Czech Airlines EU","Cashback Czech Airlines EU",9582,"http://ad.zanox.com/ppc/?23043778C1097379012T&zpar0=[[{userid}]]","2€","2€ par achat","merc14",0,2
"Carrefour.fr","Cashback Carrefour.fr",2770,"http://ad.zanox.com/ppc/?23043992C126358014T&zpar0=[[{userid}]]","Jusqu'à 2,5%","1,5% sur Téléphonie,GPS - Auto - Moto,son
2% sur Grand ElectroMenager,Petit ElectroMenager, Photo Camescope,Console et Jeux Video
2,5% sur Informatique,Jardin,TV Vidéo","merc15",1,2
"Auchan","Cashback Auchan",7316,"http://ad.zanox.com/ppc/?23044047C2105346860T&zpar0=[[{userid}]]","Jusqu'à 3,5%","1% sur Cuisine, Ecolier papeterie Bagages, Jeux Vidéo, Déco Aménagement,Multimédia
1,5% sur Communication, Jouets Sport, La Cave, Nomade, Layette Baby
1,75% sur Jardin, Auto Brico
2% sur Electro,Image
3,5% sur Traiteur ","merc16",1,3
"Norauto","Cashback Norauto",9210,"http://ad.zanox.com/ppc/?23044106C905624247T&zpar0=[[{userid}]]","Jusqu'à 2,5%","0.75% sur Pneus 1er Prix,GPS
1% sur Electro (Hors GPS), Remorques
1,5% sur Pneus marques, Deux roues,
2% sur Montage
2,5% sur Confort marques, Pièces détachées MDD, Pneus MDD, Pièces détachées marques, Confort MDD","merc17",1,2
"Zooplus","Cashback Zooplus",1911,"http://ad.zanox.com/ppc/?23044166C1978745372T&zpar0=[[{userid}]]","2,5%","2,5% par achat","merc18",1,2
"Pixmania","Cashback Pixmania",2745,"http://ad.zanox.com/ppc/?23045346C2081580495T&zpar0=[[{userid}]]","Jusqu'à 10%","1,5% sur VIPIX
2,5% sur JV / DVD - Blu Ray / Logiciels,PEM / GEM
3% sur le sport, le Mode-Bagagerie, Maison-Bricolage, 
4% sur les bijoux, enfant
6,5% sur le charme,
10% sur LoveShop
3.5€ sur l'abonnement téléphonique","merc19",1,10
"Cyrillus","Cashback Cyrillus",3142,"http://ad.zanox.com/ppc/?23045360C2064381809T&zpar0=[[{userid}]]","2,5%","2,5% par achat","merc20",1,2
"Orange FAI","Cashback Orange FAI",3252,"http://ad.zanox.com/ppc/?23045413C1506334329T&zpar0=[[{userid}]]","Jusqu'à 22,5€","2,50€ sur les offres sans engagement (Initial, Interrnet Everywhere prépayé, Mobicarte hors recharge)
10€ sur les Petits forfaits (bloqués, 1h ou Smart)
10€ sur les Grands forfaits (2h ou plus, Internet Everywhere)
22,5€ sur les offres OPEN (mobile + inte","merc21",0,22
"Fleurance Nature Affiliation","Cashback Fleurance Nature Affiliation",9186,"&zpar0=[[{userid}]]","2,5€","2,5€ par achat","merc22",0,2
