"Camaïeu","Cashback Camaïeu",1897,"http://tracking.publicidees.com/clic.php?promoid=45391&progid=1897&partid=29897&cb={userid}","3.5%","3.5% par achat","merc01",1,3
"Levi’s","Cashback Levi’s",1295,"http://tracking.publicidees.com/clic.php?promoid=30158&progid=1295&partid=29897&cb={userid}","4%","4% par achat","merc02",1,4
"GoVoyages","Cashback GoVoyages",515,"http://tracking.publicidees.com/clic.php?promoid=11189&progid=515&partid=29897&cb={userid}","Jusqu'à 17,5€","1.5% sur vente Hotels
5,00 € sur Vente Location de voiture   
5,00 € sur vente Vols + Hotels   
3,50 €  sur Vente Vols   
2,00 €  sur Vente Train + Hotels   
17,50 €  sur Vente Séjour","merc03",0,17
"La Halle aux Chaussures","Cashback La Halle aux Chaussures",2007,"http://tracking.publicidees.com/clic.php?promoid=53487&progid=2007&partid=29897&cb={userid}","5%","5% par achat","merc04",1,5
"Panini Store","Cashback Panini Store",738,"http://tracking.publicidees.com/clic.php?promoid=14063&progid=738&partid=29897&cb={userid}","5%","5% par achat","merc05",1,5
"Foot Center","Cashback Foot Center",724,"http://tracking.publicidees.com/clic.php?promoid=14072&progid=724&partid=29897&cb={userid}","3,00%","3% par achat","merc06",1,3
"Elite-Auto","Cashback Elite-Auto",1509,"http://tracking.publicidees.com/clic.php?promoid=56194&progid=1509&partid=29897&cb={userid}","4,00%","4% sur vente Stage de Conduite
25,00 € sur Vente Vente Voiture Neuve","merc07",1,4
"zepass.com","Cashback zepass.com",882,"http://tracking.publicidees.com/clic.php?promoid=18037&progid=882&partid=29897&cb={userid}","0,25€","0,25€ par achat(billet)","merc08",0,0
"Interflora","Cashback Interflora",1582,"http://tracking.publicidees.com/clic.php?promoid=37705&progid=1582&partid=29897&cb={userid}","1,5€","1,5€ par achat","merc09",0,1
"Best Western","Cashback Best Western",1737,"http://tracking.publicidees.com/clic.php?promoid=48065&progid=1737&partid=29897&cb={userid}","2,5%","2.5% par achat","merc10",1,2
"Destinia.com","Cashback Destinia.com",1853,"http://tracking.publicidees.com/clic.php?promoid=46107&progid=1853&partid=29897&cb={userid}","4,00%","4% sur l'hotel
4,00 € sur vente Location de voiture
10,00 € sur vente(vol + l'hotel)","merc11",1,4
"EdenFlirt","Cashback EdenFlirt",1702,"http://tracking.publicidees.com/clic.php?promoid=40208&progid=1702&partid=29897&cb={userid}","21,00 €","21,00 € par achat","merc12",0,21
"Citadines","Cashback Citadines",598,"http://tracking.publicidees.com/clic.php?promoid=11918&progid=598&partid=29897&cb={userid}","5,50 €","5,50 € par Pré-réservation","merc13",0,5
"Parfumerie Douglas","Cashback Parfumerie Douglas",1806,"http://tracking.publicidees.com/clic.php?promoid=43590&progid=1806&partid=29897&cb={userid}","4,5%","4.5% par achat","merc14",1,4
"Venere Hôtels","Cashback Venere Hôtels",287,"http://tracking.publicidees.com/clic.php?promoid=5518&progid=287&partid=29897&cb={userid}","2,5%","2.5% par achat","merc15",1,2
"Voyages Loisirs","Cashback Voyages Loisirs",1117,"http://tracking.publicidees.com/clic.php?promoid=26399&progid=1117&partid=29897&cb={userid}","2,5%","2.5% par achat","merc16",1,2
"Relay.com","Cashback Relay.com",625,"http://tracking.publicidees.com/clic.php?promoid=11329&progid=625&partid=29897&cb={userid}","20,00%","20% par achat","merc17",1,20
"Donatello","Cashback Donatello",1534,"http://tracking.publicidees.com/clic.php?promoid=36795&progid=1534&partid=29897&cb={userid}","3,5%","3.5% par achat","merc18",1,3
"Bravofly","Cashback Bravofly",436,"http://tracking.publicidees.com/clic.php?promoid=7835&progid=436&partid=29897&cb={userid}","Jusqu'à 25,00€","4,50 € par réservation vols
25,00 € par réservation Séjours","merc19",0,25
"Auto Europe","Cashback Auto Europe",868,"http://tracking.publicidees.com/clic.php?promoid=20964&progid=868&partid=29897&cb={userid}","3%","3% par achat","merc20",1,3
"Carrefour Spectacles","Cashback Carrefour Spectacles",1152,"http://tracking.publicidees.com/clic.php?promoid=26831&progid=1152&partid=29897&cb={userid}","0,20€","0,20€ par achat","merc21",0,0
"Châteaux & Hôtels","Cashback Châteaux & Hôtels",135,"http://tracking.publicidees.com/clic.php?promoid=12060&progid=135&partid=29897&cb={userid}","3,25%","3.25% par achat","merc22",1,3
"PartirPasCher","Cashback PartirPasCher",2185,"http://tracking.publicidees.com/clic.php?promoid=57600&progid=2185&partid=29897&cb={userid}","Jusqu'à 50,00€","1,75 % sur Vente Séjour  
1,50 % sur l'Hôtel, vol 
0,75 %  sur Séjour  Week-end
1,00 %  sur Vente Location Ski 
1,50 % sur Vente Camping
50,00 € sur Vente Croisière à la voile
15,00 € sur Vente Croisière Paquebot","merc23",0,50
"Laboratoires Ponroy","Cashback Laboratoires Ponroy",353,"http://tracking.publicidees.com/clic.php?promoid=8416&progid=353&partid=29897&cb={userid}","Jusqu'à 3,5€","3,50 € Vente Nouveau Client
1,50 € Vente Ancien Client","merc24",0,3
"Mets Tes Lentilles","Cashback Mets Tes Lentilles",1299,"http://tracking.publicidees.com/clic.php?promoid=62059&progid=1299&partid=29897&cb={userid}","5,00%","5% par achat","merc25",1,5
"Promosejours","Cashback Promosejours",200,"http://tracking.publicidees.com/clic.php?promoid=2505&progid=200&partid=29897&cb={userid}","Jusqu'à 25,00€","5,00 € par réservation vols
25,00 € par réservation Séjours","merc26",0,25
"FilmoTV","Cashback FilmoTV",939,"http://tracking.publicidees.com/clic.php?promoid=21099&progid=939&partid=29897&cb={userid}","3,25%","3.25% par Vente VOD à la carte
5,00 € par vente Abonnement VOD","merc27",1,3
"Gibert Joseph","Cashback Gibert Joseph",1844,"http://tracking.publicidees.com/clic.php?promoid=44951&progid=1844&partid=29897&cb={userid}","2,00%","2% par achat","merc28",1,2
